run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,3.0,1,80000,0.1997303498080699,0.2806366299242564,1.041640239580839,1469
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,3.0,1,80000,0.20599446008317174,0.2949561794406318,1.090862998405067,1343
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,1,80000,0.20470212453629938,0.30088395537312074,1.1073539906556615,1275
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,3.0,1,80000,0.265648224465159,10.080732926707148,30.5078470045866,1
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,3.0,1,80000,0.19947978295959182,0.28335871310257266,1.0495559222673099,1427
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,3.0,1,80000,0.23565154646359734,1.184069195510051,3.7878591329937508,41
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,3.0,1,80000,0.27910872991609503,0.36418024682675726,1.3716494703963669,1391
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,3.0,1,80000,0.20622627334078425,0.2853231740266558,1.0621957954207517,1475
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,abs_energy_error,3.0,1,80000,0.2711846569232875,0.3596966094728214,1.3502744853417519,1403
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,abs_energy_error,3.0,1,80000,0.21322648383491905,2.6399977202385,8.133219644550419,3
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,abs_energy_error,3.0,1,80000,0.2038352158157795,0.2931835987286264,1.0833860120016587,1356
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,1,80000,0.21562233584981877,0.4545444467777628,1.5792556761831071,599
L3N5 seed 42,L3N5,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,abs_energy_error,3.0,1,80000,0.2081716774016153,0.28944413527122254,1.076504083215283,1483
L3N5 seed 1776,L3N5,1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,abs_energy_error,3.0,1,80000,0.21555212002652696,0.3658846474755826,1.3132060624532746,920
L4N3 seed 7,L4N3,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,abs_energy_error,3.0,1,80000,0.20703997271741972,0.2962906576587127,1.0959119456935578,1449
L4N3 seed 42,L4N3,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,abs_energy_error,3.0,1,80000,0.21443938535493218,0.29780571820573154,1.1078565399721267,1498
L4N3 seed 101,L4N3,101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,abs_energy_error,3.0,1,80000,0.2188547617257631,0.3064262554889219,1.1381335281925287,1473
L4N3 seed 202,L4N3,202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,abs_energy_error,3.0,1,80000,0.21289867895157077,0.36873983530476245,1.3191181848658582,937
L4N3 seed 303,L4N3,303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,abs_energy_error,3.0,1,80000,0.21497051230372163,0.30262715640676385,1.1228519815240132,1431
L4N3 seed 1776,L4N3,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,abs_energy_error,3.0,1,80000,0.20889746330198833,0.2988562265460486,1.1054661429401342,1393
L4N4 seed 0,L4N4,0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,abs_energy_error,3.0,1,80000,0.183090003550495,0.2584556041364583,0.9584568159598699,1498
L4N4 seed 7,L4N4,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,abs_energy_error,3.0,1,80000,0.18390466804380995,0.2669865535328786,0.9848643286424457,1361
L4N4 seed 42,L4N4,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,abs_energy_error,3.0,1,80000,0.18831727622949984,0.2736557746567752,1.0092846001998255,1410
L4N4 seed 1776,L4N4,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,abs_energy_error,3.0,1,80000,0.18196098293097457,0.4122309731652796,1.4186539024268134,528
