architecture,seed,run_label,source_file,metric,raw,filtered,n_total,n_shared_hard,n_diagnostic_filtered,n_filtered,filtered_fraction
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,energy_mae,0.1997303498080699,0.1997303498080699,80000,0,0,0,0.0
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,energy_mse,0.11864814622822233,0.11864814622822233,80000,0,0,0,0.0
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,0.582884143878776,0.582884143878776,80000,0,0,0,0.0
L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,1.2994687470283572,1.2994687470283572,80000,0,0,0,0.0
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,energy_mae,0.20599446008317174,0.20599446008317174,80000,0,0,0,0.0
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,energy_mse,0.12943177788582422,0.12943177788582422,80000,0,0,0,0.0
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_mae,0.6041831642617682,0.5956118552443499,80000,0,2,2,2.5e-05
L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_rmse,2.8360281282615443,1.3468688130921072,80000,0,2,2,2.5e-05
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,energy_mae,0.20470212453629938,0.20470212453629938,80000,0,0,0,0.0
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,energy_mse,0.1324329827512162,0.1324329827512162,80000,0,0,0,0.0
L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_mae,0.5900155144423305,0.5900155144423305,80000,0,0,0,0.0
