run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,80000,80000,79540,460,0.00575,0.1997303498080699,0.2806366299242564,0.11516928672790519,0.049985885620117174,0.2416131496429443,0.0,10.994155883789062,0.18747279904106,0.2187722796174829,0.1141684055328369,0.049679964780807453,0.2379703521728515,0.0,1.6027259826660156
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,80000,80000,79565,435,0.0054375,0.20599446008317174,0.2949561794406318,0.1191558837890625,0.0518379211425781,0.2498087882995605,0.0,19.704620361328125,0.19366306256979735,0.22479753846381847,0.1181812286376953,0.0515623092651367,0.2464027404785156,0.0,1.6783523559570312
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,79587,413,0.0051625,0.20470212453629938,0.30088395537312074,0.11953321099281305,0.0521697998046875,0.24705219268798823,0.0,28.87258529663086,0.19275769340280913,0.2249374535380332,0.1186714172363281,0.05189704895019525,0.24370646476745605,0.0,1.7087249755859375
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,80000,80000,79999,1,1.25e-05,0.265648224465159,10.080732926707148,0.1355524063110351,0.05945909023284905,0.2793111801147461,0.0,2850.048095703125,0.2300254985876023,0.3207642591237107,0.1355514526367187,0.0594584941864013,0.27930545806884766,0.0,11.28863525390625
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,80000,80000,79544,456,0.0057,0.19947978295959182,0.28335871310257266,0.11422920227050776,0.0492773056030273,0.2412331104278564,5.960464477539063e-06,9.82049560546875,0.18713168133700644,0.21943419862415045,0.1133794784545898,0.0489912033081054,0.237894058227539,5.960464477539063e-06,1.613494873046875
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,80000,80000,79995,5,6.25e-05,0.23565154646359734,1.184069195510051,0.1379945278167724,0.0610303878784179,0.2813048362731933,7.62939453125e-06,323.4248046875,0.23124859380002624,0.30612301915007456,0.1379756927490234,0.061022281646728446,0.2812870740890503,7.62939453125e-06,6.12713623046875
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,80000,80000,79573,427,0.0053375,0.27910872991609503,0.36418024682675726,0.179387092590332,0.0802456736564636,0.3464288711547851,9.5367431640625e-07,22.873519897460938,0.2642453610084631,0.28338871889450934,0.1781692504882812,0.0797653198242187,0.34246826171875,9.5367431640625e-07,2.098419189453125
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,80000,80000,79532,468,0.00585,0.20622627334078425,0.2853231740266558,0.11926513910293575,0.0516014099121093,0.249312400817871,0.0,9.35308837890625,0.19375345186517245,0.22503145203298353,0.1182472705841064,0.051328241825103676,0.24584770202636713,0.0,1.6284217834472656
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,abs_energy_error,80000,80000,79631,369,0.0046125,0.2711846569232875,0.3596966094728214,0.16807222366333005,0.0745697021484375,0.33331358432769775,0.0,16.674484252929688,0.25797838647650156,0.2850579671267384,0.1670913696289062,0.07419109344482419,0.33007001876831055,0.0,2.069183349609375
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,abs_energy_error,80000,80000,79999,1,1.25e-05,0.21322648383491905,2.6399977202385,0.11860346794128415,0.05120491981506339,0.24819565936923021,0.0,742.6024780273438,0.20394650219085464,0.2830975442245186,0.1186003684997558,0.0512022972106933,0.2481880262494087,0.0,10.285888671875
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,abs_energy_error,80000,80000,79573,427,0.0053375,0.2038352158157795,0.2931835987286264,0.11694240570068355,0.050190925598144503,0.24564695358276362,3.814697265625e-06,9.99810791015625,0.19142124014294876,0.224620386720919,0.1161022186279296,0.0499114990234375,0.2423629760742187,3.814697265625e-06,1.669677734375
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,79861,139,0.0017375,0.21562233584981877,0.4545444467777628,0.1237030029296875,0.053504467010498005,0.2592897415161132,0.0,96.79352569580078,0.20876067252501623,0.262427795713728,0.1234054565429687,0.0534210205078125,0.2583045959472656,0.0,2.48016357421875
